Segment,Start_Time,End_Time,Spectral_Energy,Silence_Detected
1,0.0,0.5,843260.1422983477,False
2,0.25,0.75,940385.7505843366,False
3,0.5,1.0,776966.4755663972,False
4,0.75,1.25,578658.0320002829,False
5,1.0,1.5,501039.20271982905,False
6,1.25,1.75,516514.9712764367,False
7,1.5,2.0,788321.5894904062,False
8,1.75,2.25,774011.2946561266,False
9,2.0,2.5,591080.3044144833,False
10,2.25,2.75,583467.1939939923,False
11,2.5,3.0,483881.65925993735,False
12,2.75,3.25,397941.1955052638,False
13,3.0,3.5,359945.47631300945,False
14,3.25,3.75,338362.1442282731,False
15,3.5,4.0,358332.94450305495,False
16,3.75,4.25,413354.73690344323,False
17,4.0,4.5,457237.34122312797,False
18,4.25,4.75,446139.7557622015,False
19,4.5,5.0,582727.241554537,False
20,4.75,5.25,850444.8214073679,False
21,5.0,5.5,796191.5022107629,False
22,5.25,5.75,652836.016139428,False
23,5.5,6.0,644092.6412982913,False
24,5.75,6.25,634863.9978927566,False
25,6.0,6.5,631464.7558883872,False
26,6.25,6.75,584362.7580963263,False
27,6.5,7.0,532827.6302433579,False
28,6.75,7.25,515962.72142276505,False
29,7.0,7.5,600257.555337683,False
30,7.25,7.75,785669.713830667,False
31,7.5,8.0,801084.9987041886,False
32,7.75,8.25,621665.427090208,False
33,8.0,8.5,473954.4295073386,False
34,8.25,8.75,425871.50349950563,False
35,8.5,9.0,393823.51188906695,False
36,8.75,9.25,397688.20551121107,False
37,9.0,9.5,405584.17448537884,False
38,9.25,9.75,382934.5597322163,False
39,9.5,10.0,418875.45891803125,False
40,9.75,10.25,445881.17528853554,False
41,10.0,10.5,395146.3981665912,False
42,10.25,10.75,436794.79713777767,False
43,10.5,11.0,494542.741943291,False
44,10.75,11.25,465817.57083470165,False
45,11.0,11.5,476231.1983789105,False
46,11.25,11.75,605201.164885354,False
47,11.5,12.0,669523.4015951533,False
48,11.75,12.25,672171.2805494895,False
49,12.0,12.5,633901.212350101,False
50,12.25,12.75,710774.0820134444,False
51,12.5,13.0,838576.3542128365,False
52,12.75,13.25,852739.6363069393,False
53,13.0,13.5,1068853.0211889779,False
54,13.25,13.75,1362245.3169293078,False
55,13.5,14.0,1773554.160252198,False
56,13.75,14.25,1801433.0126885718,False
57,14.0,14.5,1614593.1624366161,False
58,14.25,14.75,1441459.0452067757,False
59,14.5,15.0,1337301.822088408,False
60,14.75,15.25,1579735.502643314,False
61,15.0,15.5,1649840.2706890367,False
62,15.25,15.75,1668377.0432970044,False
63,15.5,16.0,1710260.2219253457,False
64,15.75,16.25,1511727.9459417437,False
65,16.0,16.5,1241660.0850054864,False
66,16.25,16.75,1078844.3383753325,False
67,16.5,17.0,976691.8029039974,False
68,16.75,17.25,936076.6065982522,False
69,17.0,17.5,1083294.58298421,False
70,17.25,17.75,1144734.7690703806,False
71,17.5,18.0,1264662.6425682958,False
72,17.75,18.25,1394281.49343048,False
73,18.0,18.5,1360366.988292293,False
74,18.25,18.75,1302539.4622372391,False
75,18.5,19.0,1160706.7442231777,False
76,18.75,19.25,972007.2899725024,False
77,19.0,19.5,939461.9466248528,False
78,19.25,19.75,1030293.0863694366,False
79,19.5,20.0,862520.4522003513,False
